Test Name,,,,,,SW_SIT,SW_DC,SW_LV_DIE1,CONT4,PRE_OS_GS1,PRE_OS_DS1,SW_LV_DIE2,PRE_OS_GS2,PRE_OS_DS2,SW_LV_DIE,PRE_OS_GS3,PRE_OS_DS3,IGSS1_1,IGSS1_2,BVSS,ISS1,VGS(OFF),RSSON1,RSSON2,VFSS,IGSS2_1,IGSS2_2,ISS2,POST_OS_CHK
Bias1,,,,,,,,,IB=1.000mA,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,,VSG=-5.000V,IS2=250.0uA,VSG=-20.00V,VSG=20.00V,IS2=250.0uA,VS2S1=100.0V,IS2=250.0uA,IS2=15.00A,IS2=15.00A,IS1=3.000A,VSG=-16.00V,VSG=16.00V,VS2S1=80.00V,IS2=250.0uA
Bias2,,,,,,,,,,,VG2S2=0.000V,,,VG2S2=0.000V,,,VG2S2=0.000V,,,,,VG2S2=0.000V,VG1=10.0V,VG1=4.50V,VGS2=10.0V,,,,VG2S2=0.000V
Bias3,,,,,,,,,,,,,,,,,,,,Vmax=200V,,,VG2=10.0V,VG2=4.50V,,,,,
5,85,1,1,26,2,1.0000,1.0000,1.0000,3.7468,-0.0009,1.4884,1.0000,-0.0015,1.4915,1.0000,-0.0010,1.4881,-0.9462,6.0688,113.17,0.9795,1.4890,42.887,55.560,0.6803,-0.9859,3.3708,0.5477,1.4887
6,86,1,1,26,3,1.0000,1.0000,1.0000,3.5765,-0.0018,1.4884,1.0000,-0.0041,1.4918,1.0000,-0.0006,1.4918,-0.0923,4.9016,113.39,0.9826,1.4924,42.903,55.560,0.6797,-0.2528,4.7672,0.5522,1.4915
7,87,1,1,25,2,1.0000,1.0000,1.0000,3.3606,-0.0003,1.4887,1.0000,-0.0017,1.4933,1.0000,-0.0003,1.4884,-1.6946,4.9016,113.14,1.0069,1.4890,43.084,55.824,0.6800,-1.8107,2.3411,0.5596,1.4884
8,88,1,1,25,3,1.0000,1.0000,1.0000,3.3849,-0.0015,1.4881,1.0000,-0.0023,1.4936,1.0000,-0.0001,1.4939,-0.0787,3.6855,113.36,1.0069,1.4939,43.096,55.844,0.6800,-0.1367,3.9941,0.5623,1.4939
1,89,1,1,24,4,1.0000,1.0000,1.0000,4.0875,-0.0014,1.4939,1.0000,-0.0007,1.4973,1.0000,-0.0023,1.4942,-0.9218,5.0269,113.51,1.0100,1.4948,42.773,55.499,0.6791,-1.0104,2.8208,0.5699,1.4942
2,90,1,1,24,5,1.0000,1.0000,1.0000,4.0966,-0.0014,1.4942,1.0000,-0.0035,1.4967,1.0000,-0.0004,1.4970,-3.0387,3.6519,113.72,1.0252,1.4973,42.787,55.520,0.6788,-2.1742,2.3595,0.5815,1.4967
3,91,1,1,23,4,1.0000,1.0000,1.0000,3.2511,-0.0003,1.4915,1.0000,-0.0003,1.4976,1.0000,-0.0009,1.4918,-0.6285,5.3355,113.39,1.0039,1.4924,42.940,55.642,0.6806,-0.4758,5.2927,0.5626,1.4918
4,92,1,1,23,5,1.0000,1.0000,1.0000,3.3089,-0.0018,1.4921,1.0000,-0.0014,1.4970,1.0000,-0.0013,1.4970,-2.0795,6.1391,113.54,1.0008,1.4976,42.962,55.642,0.6800,-2.4950,3.9055,0.5657,1.4973
5,93,1,1,22,4,1.0000,1.0000,1.0000,4.0236,-0.0008,1.4863,1.0000,-0.0040,1.4915,1.0000,-0.0027,1.4854,-2.9226,6.3132,113.14,1.0191,1.4860,43.141,55.844,0.6806,-2.7454,3.9330,0.5678,1.4863
6,94,1,1,22,5,1.0000,1.0000,1.0000,4.0418,-0.0026,1.4857,1.0000,-0.0004,1.4915,1.0000,-0.0001,1.4918,-0.2375,3.6550,113.36,1.0100,1.4921,43.157,55.844,0.6809,-0.3398,3.1264,0.5650,1.4915
7,95,1,1,21,4,1.0000,1.0000,1.0000,3.4640,-0.0025,1.4848,1.0000,-0.0001,1.4857,1.0000,-0.0021,1.4845,-2.4186,4.8252,112.84,1.0618,1.4854,43.273,55.966,0.6794,-2.5377,4.2416,0.5846,1.4848
8,96,1,1,21,5,1.0000,1.0000,1.0000,3.3606,-0.0020,1.4851,1.0000,-0.0021,1.4857,1.0000,-0.0010,1.4854,-1.1325,5.6746,113.17,1.0374,1.4863,43.281,56.007,0.6800,-0.3505,2.6772,0.5757,1.4857
1,97,1,1,28,4,1.0000,1.0000,1.0000,4.0479,-0.0001,1.4945,1.0000,-0.0024,1.4967,1.0000,-0.0005,1.4954,-0.4239,2.9950,113.87,1.0039,1.4957,42.332,55.053,0.6785,-0.1398,3.1600,0.5748,1.4951
2,98,1,1,28,5,1.0000,1.0000,1.0000,4.0145,-0.0001,1.4957,1.0000,-0.0010,1.4973,1.0000,-0.0029,1.4973,-1.5785,4.1866,113.99,1.0008,1.4979,42.350,55.053,0.6779,-2.5041,4.2049,0.5788,1.4976
3,99,17,17,27,4,1.0000,1.0000,1.0000,3.3423,-0.0036,1.4988,1.0000,-0.0003,1.5024,1.0000,-0.0056,1.4991,-1.2089,4.6266,112.93,62.311
4,100,1,1,27,5,1.0000,1.0000,1.0000,3.1720,-0.0081,1.4991,1.0000,-0.0010,1.5024,1.0000,-0.0023,1.5027,-1.0623,4.5044,113.93,0.9795,1.5027,42.328,55.073,0.6794,-0.4972,2.3656,0.5626,1.5024
5,101,1,1,26,4,1.0000,1.0000,1.0000,3.7924,-0.0052,1.4954,1.0000,-0.0003,1.4970,1.0000,-0.0057,1.4948,-1.9543,6.0413,113.63,0.9795,1.4957,42.432,55.073,0.6788,-1.7618,5.0819,0.5583,1.4951
6,102,1,1,26,5,1.0000,1.0000,1.0000,3.8898,-0.0019,1.4954,1.0000,-0.0008,1.4963,1.0000,-0.0001,1.4967,-2.2078,3.8750,113.90,0.9856,1.4970,42.434,55.073,0.6791,-1.7832,4.0583,0.5641,1.4967
7,103,1,1,25,4,1.0000,1.0000,1.0000,3.4853,-0.0032,1.4960,1.0000,-0.0016,1.4954,1.0000,-0.0041,1.4960,-1.9146,3.6855,113.60,1.0008,1.4960,42.553,55.236,0.6782,-1.4563,4.1652,0.5647,1.4957
8,104,1,1,25,5,1.0000,1.0000,1.0000,3.6130,-0.0012,1.4960,1.0000,-0.0003,1.4954,1.0000,-0.0004,1.4954,-0.5399,5.4974,113.84,1.0008,1.4963,42.564,55.256,0.6785,-0.6285,3.6550,0.5730,1.4954
1,105,1,1,32,4,1.0000,1.0000,1.0000,3.7651,-0.0002,1.4939,1.0000,-0.0004,1.4951,1.0000,-0.0029,1.4939,-1.9909,5.0574,114.03,0.9856,1.4945,42.106,54.810,0.6773,-1.6121,4.2386,0.5702,1.4942
2,106,1,1,32,5,1.0000,1.0000,1.0000,3.9263,-0.0006,1.4939,1.0000,-0.0002,1.4951,1.0000,-0.0017,1.4957,-2.3086,3.1294,114.18,0.9856,1.4957,42.114,54.830,0.6773,-2.1559,2.5581,0.5742,1.4954
3,107,1,1,31,4,1.0000,1.0000,1.0000,3.4701,-0.0002,1.4982,1.0000,-0.0001,1.4991,1.0000,-0.0016,1.4979,-0.8760,6.5760,113.96,0.9643,1.4991,42.092,54.769,0.6782,-0.7965,5.5188,0.5596,1.4982
4,108,1,1,31,5,1.0000,1.0000,1.0000,3.4366,-0.0015,1.4982,1.0000,-0.0021,1.4985,1.0000,-0.0004,1.4988,-2.4644,4.9688,114.18,0.9643,1.4991,42.096,54.789,0.6782,-2.0367,2.5519,0.5608,1.4988
5,109,1,1,30,4,1.0000,1.0000,1.0000,3.9202,-0.0016,1.4976,1.0000,-0.0008,1.4976,1.0000,-0.0005,1.4979,-1.0745,4.4219,113.87,0.9673,1.4982,42.141,54.830,0.6788,-0.2329,3.3250,0.5593,1.4976
6,110,1,1,30,5,1.0000,1.0000,1.0000,3.8898,-0.0009,1.4979,1.0000,-0.0003,1.4976,1.0000,-0.0017,1.4979,-2.6233,4.2049,114.15,0.9673,1.4982,42.147,54.810,0.6782,-1.7404,2.9492,0.5608,1.4976
7,111,1,1,29,4,1.0000,1.0000,1.0000,3.6130,-0.0001,1.4960,1.0000,-0.0008,1.4970,1.0000,-0.0009,1.4957,-1.1692,5.4669,113.93,0.9856,1.4970,42.143,54.810,0.6779,-0.6010,3.7589,0.5690,1.4957
8,112,1,1,29,5,1.0000,1.0000,1.0000,3.4366,-0.0005,1.4963,1.0000,-0.0004,1.4963,1.0000,-0.0012,1.4960,-2.3728,5.3416,114.12,0.9826,1.4970,42.143,54.830,0.6773,-2.4308,4.5655,0.5714,1.4963
1,113,1,1,36,4,1.0000,1.0000,1.0000,3.8198,-0.0016,1.4973,1.0000,-0.0013,1.4960,1.0000,-0.0014,1.4979,-2.7577,2.8636,113.99,0.9673,1.4982,42.019,54.789,0.6776,-2.1498,2.7689,0.5580,1.4982
2,114,1,1,36,5,1.0000,1.0000,1.0000,4.0905,-0.0013,1.4982,1.0000,-0.0055,1.4970,1.0000,-0.0018,1.4970,-1.0134,5.6838,114.18,0.9612,1.4976,42.045,54.830,0.6776,-0.6774,2.7903,0.5617,1.4970
3,115,1,1,35,4,1.0000,1.0000,1.0000,3.5218,-0.0003,1.5015,1.0000,-0.0013,1.5000,1.0000,-0.0002,1.5009,-1.1325,7.2390,114.03,0.9429,1.5021,42.021,54.810,0.6788,-0.7904,4.4891,0.5480,1.5012
4,116,1,1,35,5,1.0000,1.0000,1.0000,3.5461,-0.0037,1.5012,1.0000,-0.0012,1.4997,1.0000,-0.0042,1.5000,-1.3036,4.8435,114.18,0.9429,1.5000,42.031,54.810,0.6785,-0.9554,2.3717,0.5495,1.4997
5,117,1,1,34,4,1.0000,1.0000,1.0000,4.0236,-0.0003,1.4994,1.0000,-0.0009,1.4988,1.0000,-0.0020,1.4991,-1.6244,5.0299,114.03,0.9490,1.4997,42.041,54.769,0.6785,-1.2486,5.2102,0.5519,1.4991
6,118,1,1,34,5,1.0000,1.0000,1.0000,4.0418,-0.0007,1.4991,1.0000,-0.0012,1.4985,1.0000,-0.0004,1.4988,-2.2781,3.8291,114.18,0.9521,1.4988,42.057,54.789,0.6779,-1.8046,4.0247,0.5532,1.4985
7,119,1,1,33,4,1.0000,1.0000,1.0000,3.5613,-0.0003,1.4948,1.0000,-0.0066,1.4957,1.0000,-0.0011,1.4948,-0.3689,4.9566,113.99,0.9734,1.4954,41.996,54.708,0.6776,-0.4880,3.7741,0.5660,1.4945
8,120,1,1,33,5,1.0000,1.0000,1.0000,3.5278,-0.0002,1.4945,1.0000,-0.0008,1.4951,1.0000,-0.0009,1.4948,-2.7943,3.9025,114.18,0.9795,1.4954,41.994,54.728,0.6773,-1.7802,2.6986,0.5690,1.4945
1,121,1,1,40,4,1.0000,1.0000,1.0000,4.0814,-0.0005,1.5104,1.0000,-0.0033,1.5052,1.0000,-0.0014,1.5107,-2.6507,2.8178,113.99,0.9673,1.5110,42.153,55.012,0.6782,-2.1834,3.0225,0.5562,1.5107
2,122,1,1,40,5,1.0000,1.0000,1.0000,4.2061,-0.0021,1.5113,1.0000,-0.0004,1.5058,1.0000,-0.0015,1.5055,-2.3942,3.9025,114.15,0.9704,1.5061,42.179,55.033,0.6773,-2.1589,4.4463,0.5620,1.5055
3,123,1,1,39,4,1.0000,1.0000,1.0000,3.4183,-0.0008,1.5113,1.0000,-0.0014,1.5082,1.0000,-0.0030,1.5116,-1.9237,5.8274,113.96,0.9490,1.5119,42.088,54.931,0.6788,-1.5266,5.7785,0.5477,1.5116
4,124,1,1,39,5,1.0000,1.0000,1.0000,3.5370,-0.0001,1.5116,1.0000,-0.0010,1.5082,1.0000,-0.0009,1.5079,-0.6346,4.8680,114.15,0.9490,1.5082,42.106,54.952,0.6782,-0.2406,5.0452,0.5516,1.5076
5,125,1,1,38,4,1.0000,1.0000,1.0000,3.8806,-0.0032,1.5064,1.0000,-0.0003,1.5027,1.0000,-0.0003,1.5064,-1.0073,6.0902,114.03,0.9460,1.5073,42.070,54.870,0.6788,-1.1417,3.4991,0.5495,1.5067
6,126,1,1,38,5,1.0000,1.0000,1.0000,4.0358,-0.0003,1.5064,1.0000,-0.0005,1.5024,1.0000,-0.0008,1.5030,-2.4186,3.8902,114.18,0.9521,1.5030,42.078,54.870,0.6779,-1.6702,3.4900,0.5522,1.5021
7,127,1,1,37,4,1.0000,1.0000,1.0000,3.6921,-0.0062,1.5015,1.0000,-0.0012,1.4982,1.0000,-0.0059,1.5015,-1.2303,4.8710,114.03,0.9643,1.5021,42.057,54.870,0.6776,-1.1539,2.1578,0.5590,1.5015
8,128,1,1,37,5,1.0000,1.0000,1.0000,3.4366,-0.0011,1.5015,1.0000,-0.0004,1.4985,1.0000,-0.0007,1.4982,-0.9676,5.3477,114.18,0.9643,1.4988,42.068,54.911,0.6776,-0.6377,2.4053,0.5632,1.4985
1,129,1,1,44,4,1.0000,1.0000,1.0000,3.8229,-0.0014,1.5222,1.0000,-0.0017,1.5149,1.0000,-0.0004,1.5228,-0.9859,3.4686,113.57,0.9704,1.5234,42.395,55.398,0.6800,-0.1351,2.2739,0.5443,1.5225
2,130,1,1,44,5,1.0000,1.0000,1.0000,4.1544,-0.0007,1.5228,1.0000,-0.0003,1.5149,1.0000,-0.0001,1.5155,-1.0317,3.5358,113.81,0.9734,1.5158,42.417,55.357,0.6782,-1.6855,4.0400,0.5532,1.5155
3,131,1,1,43,4,1.0000,1.0000,1.0000,3.4518,-0.0034,1.5240,1.0000,0.0000,1.5180,1.0000,-0.0016,1.5234,-2.9012,7.4010,113.69,0.9429,1.5244,42.279,55.236,0.6791,-2.4552,4.7672,0.5379,1.5240
4,132,1,1,43,5,1.0000,1.0000,1.0000,3.3301,-0.0017,1.5240,1.0000,-0.0010,1.5177,1.0000,-0.0012,1.5183,-2.0765,4.0461,113.84,0.9521,1.5180,42.291,55.215,0.6791,-2.0581,4.2844,0.5455,1.5177
5,133,1,1,42,4,1.0000,1.0000,1.0000,4.2730,-0.0001,1.5234,1.0000,-0.0009,1.5158,1.0000,-0.0021,1.5244,-1.9115,3.9422,113.75,0.9490,1.5237,42.171,55.114,0.6791,-1.7160,3.0775,0.5440,1.5234
6,134,1,1,42,5,1.0000,1.0000,1.0000,4.2182,-0.0009,1.5240,1.0000,-0.0005,1.5164,1.0000,-0.0016,1.5161,-2.1773,4.0094,113.96,0.9551,1.5164,42.194,55.094,0.6785,-1.9329,4.4586,0.5483,1.5161
7,135,1,1,41,4,1.0000,1.0000,1.0000,3.4670,-0.0018,1.5137,1.0000,-0.0005,1.5076,1.0000,-0.0015,1.5137,-0.7843,5.1919,113.93,0.9673,1.5143,42.167,55.073,0.6782,-0.3505,2.2800,0.5580,1.5137
8,136,1,1,41,5,1.0000,1.0000,1.0000,3.6069,-0.0028,1.5137,1.0000,-0.0001,1.5079,1.0000,-0.0047,1.5076,-1.7740,4.3180,114.12,0.9734,1.5079,42.171,55.053,0.6773,-1.4411,4.6938,0.5629,1.5076
1,137,1,1,48,4,1.0000,1.0000,1.0000,3.6130,-0.0004,1.5137,1.0000,-0.0009,1.5158,1.0000,-0.0001,1.5137,-1.7710,5.4791,113.08,0.9612,1.5149,42.850,55.844,0.6800,-0.7140,2.5856,0.5260,1.5140
2,138,1,1,48,5,1.0000,1.0000,1.0000,3.7833,-0.0009,1.5143,1.0000,-0.0013,1.5161,1.0000,-0.0014,1.5155,-2.3544,4.9841,113.29,0.9765,1.5161,42.877,55.824,0.6791,-2.4186,4.7091,0.5407,1.5158
3,139,1,1,47,4,1.0000,1.0000,1.0000,3.5643,-0.0015,1.5170,1.0000,-0.0005,1.5167,1.0000,-0.0016,1.5170,-1.1264,6.9151,113.17,0.9429,1.5177,42.606,55.520,0.6803,-0.7477,3.6580,0.5239,1.5170
4,140,1,1,47,5,1.0000,1.0000,1.0000,3.5613,-0.0020,1.5170,1.0000,-0.0004,1.5167,1.0000,-0.0004,1.5167,-0.7171,6.2032,113.45,0.9521,1.5174,42.625,55.540,0.6800,-0.3811,3.1019,0.5346,1.5164
5,141,1,1,46,4,1.0000,1.0000,1.0000,4.4494,-0.0047,1.5222,1.0000,-0.0011,1.5186,1.0000,-0.0037,1.5225,-1.2731,4.5044,113.29,0.9551,1.5228,42.501,55.459,0.6803,-0.8546,2.3533,0.5315,1.5222
6,142,1,1,46,5,1.0000,1.0000,1.0000,4.3703,-0.0045,1.5228,1.0000,-0.0004,1.5192,1.0000,-0.0050,1.5189,-1.6763,5.3477,113.54,0.9643,1.5195,42.529,55.439,0.6788,-1.4716,5.0421,0.5410,1.5189
7,143,1,1,45,4,1.0000,1.0000,1.0000,3.6008,-0.0013,1.5228,1.0000,-0.0019,1.5177,1.0000,-0.0008,1.5225,-0.3780,4.9749,113.39,0.9734,1.5231,42.415,55.378,0.6791,-0.4605,3.9116,0.5431,1.5225
8,144,1,1,45,5,1.0000,1.0000,1.0000,3.4092,-0.0007,1.5228,1.0000,-0.0047,1.5180,1.0000,-0.0013,1.5177,-0.3200,5.2255,113.66,0.9765,1.5186,42.425,55.378,0.6788,-0.5124,4.1102,0.5513,1.5180
1,145,1,1,52,6,1.0000,1.0000,1.0000,4.0631,-0.0039,1.4954,1.0000,-0.0008,1.4915,1.0000,-0.0057,1.4960,-0.7690,3.3494,112.50,0.9948,1.4963,43.188,56.047,0.6803,-1.4075,3.8138,0.5361,1.4963
2,146,1,1,52,7,1.0000,1.0000,1.0000,4.2578,-0.0024,1.4957,1.0000,-0.0003,1.4915,1.0000,-0.0004,1.4921,-0.7202,3.2883,112.81,0.9887,1.4921,43.224,56.088,0.6800,-0.1092,2.2495,0.5364,1.4915
3,147,1,1,51,6,1.0000,1.0000,1.0000,3.7468,-0.0012,1.5021,1.0000,-0.0007,1.4979,1.0000,-0.0035,1.5015,-2.7332,7.2482,112.84,0.9612,1.5024,42.984,55.824,0.6803,-2.4278,5.2102,0.5251,1.5015
4,148,1,1,51,7,1.0000,1.0000,1.0000,3.6069,-0.0039,1.5018,1.0000,-0.0020,1.4973,1.0000,-0.0003,1.4973,-0.7538,6.2093,113.08,0.9643,1.4982,43.011,55.844,0.6803,-0.2283,3.0500,0.5300,1.4970
5,149,1,1,50,6,1.0000,1.0000,1.0000,4.9117,-0.0005,1.5079,1.0000,-0.0028,1.5018,1.0000,-0.0016,1.5070,-1.5785,6.2674,113.08,0.9582,1.5082,42.734,55.560,0.6800,-1.1448,4.8833,0.5279,1.5073
6,150,1,1,50,7,1.0000,1.0000,1.0000,4.8113,-0.0054,1.5073,1.0000,-0.0004,1.5012,1.0000,-0.0057,1.5018,-1.0531,4.2477,113.26,0.9734,1.5018,42.749,55.560,0.6797,-0.6102,2.1211,0.5391,1.5015
7,151,1,1,49,6,1.0000,1.0000,1.0000,3.6039,-0.0028,1.5064,1.0000,-0.0020,1.5009,1.0000,-0.0001,1.5067,-0.8301,4.8680,113.33,0.9826,1.5073,42.511,55.317,0.6788,-0.2833,1.9286,0.5449,1.5067
8,152,1,1,49,7,1.0000,1.0000,1.0000,3.6100,-0.0015,1.5064,1.0000,-0.0052,1.5009,1.0000,-0.0009,1.5015,-2.4675,3.2333,113.48,0.9948,1.5015,42.507,55.297,0.6782,-1.9146,3.2700,0.5559,1.5009
1,153,1,1,48,6,1.0000,1.0000,1.0000,4.1635,-0.0016,1.5113,1.0000,-0.0010,1.5073,1.0000,-0.0004,1.5116,-0.9279,3.8383,113.51,0.9948,1.5125,42.519,55.418,0.6788,-0.0770,1.9317,0.5544,1.5113
2,154,1,1,48,7,1.0000,1.0000,1.0000,4.2061,-0.0010,1.5122,1.0000,-0.0014,1.5073,1.0000,-0.0019,1.5070,-2.9684,5.8671,113.81,0.9978,1.5079,42.543,55.398,0.6779,-2.7271,3.5694,0.5626,1.5073
3,155,1,1,47,6,1.0000,1.0000,1.0000,3.6312,-0.0006,1.5131,1.0000,-0.0001,1.5104,1.0000,-0.0007,1.5122,-2.1559,7.3521,113.69,0.9704,1.5137,42.336,55.195,0.6788,-1.2272,4.1469,0.5498,1.5125
4,156,1,1,47,7,1.0000,1.0000,1.0000,3.7985,-0.0005,1.5128,1.0000,-0.0011,1.5104,1.0000,-0.0021,1.5100,-1.6946,6.6951,113.93,0.9734,1.5110,42.360,55.215,0.6782,-0.9034,4.2080,0.5535,1.5100
5,157,1,1,46,6,1.0000,1.0000,1.0000,4.6471,-0.0012,1.5134,1.0000,-0.0021,1.5104,1.0000,-0.0003,1.5134,-0.9340,6.4263,113.81,0.9704,1.5143,42.214,55.094,0.6791,-0.4727,3.3372,0.5535,1.5131
6,158,1,1,46,7,1.0000,1.0000,1.0000,4.5954,-0.0033,1.5131,1.0000,-0.0013,1.5100,1.0000,-0.0016,1.5107,-1.3433,3.7100,113.93,0.9765,1.5107,42.216,55.073,0.6782,-1.2089,2.6894,0.5553,1.5100
7,159,1,1,45,6,1.0000,1.0000,1.0000,3.8776,-0.0009,1.5094,1.0000,-0.0017,1.5064,1.0000,-0.0015,1.5094,-0.4483,5.2805,113.84,0.9887,1.5100,42.135,54.992,0.6779,-0.5338,3.7466,0.5632,1.5094
8,160,1,1,45,7,1.0000,1.0000,1.0000,3.6343,0.0000,1.5097,1.0000,-0.0014,1.5064,1.0000,-0.0013,1.5064,-2.6905,3.6672,113.99,0.9917,1.5067,42.135,54.992,0.6776,-1.7893,2.8728,0.5669,1.5061
1,161,1,1,44,6,1.0000,1.0000,1.0000,4.1757,-0.0017,1.5073,1.0000,-0.0004,1.5067,1.0000,-0.0019,1.5082,-0.5888,2.9492,113.99,0.9917,1.5085,42.149,55.012,0.6782,-0.0100,2.4694,0.5669,1.5079
2,162,1,1,44,7,1.0000,1.0000,1.0000,4.3125,-0.0023,1.5079,1.0000,-0.0005,1.5070,1.0000,-0.0012,1.5070,-1.2853,3.1325,114.15,0.9948,1.5070,42.165,55.033,0.6773,-1.8076,3.5816,0.5714,1.5070
3,163,1,1,43,6,1.0000,1.0000,1.0000,3.7742,-0.0031,1.5104,1.0000,-0.0007,1.5091,1.0000,-0.0047,1.5113,-0.8790,4.5288,114.09,0.9704,1.5113,42.025,54.891,0.6779,-0.7721,4.1438,0.5605,1.5110
4,164,1,1,43,7,1.0000,1.0000,1.0000,3.6647,-0.0011,1.5110,1.0000,0.0000,1.5088,1.0000,-0.0005,1.5088,-1.0501,6.2888,114.27,0.9704,1.5100,42.049,54.911,0.6782,-0.1673,3.0683,0.5629,1.5088
5,165,1,1,42,6,1.0000,1.0000,1.0000,4.5923,-0.0003,1.5094,1.0000,-0.0025,1.5085,1.0000,-0.0002,1.5091,-2.3697,4.8588,114.15,0.9734,1.5097,41.915,54.728,0.6773,-2.4736,5.1613,0.5650,1.5094
6,166,1,1,42,7,1.0000,1.0000,1.0000,4.5923,-0.0001,1.5097,1.0000,-0.0004,1.5085,1.0000,-0.0014,1.5085,-1.3250,6.3102,114.33,0.9734,1.5094,41.944,54.769,0.6770,-0.6438,4.3577,0.5663,1.5082
7,167,1,1,41,6,1.0000,1.0000,1.0000,3.4944,-0.0011,1.5030,1.0000,-0.0012,1.5021,1.0000,-0.0001,1.5024,-1.5113,5.6074,114.30,0.9917,1.5033,41.905,54.728,0.6763,-0.8118,3.7405,0.5769,1.5024
8,168,1,1,41,7,1.0000,1.0000,1.0000,3.5917,-0.0018,1.5024,1.0000,-0.0012,1.5018,1.0000,-0.0007,1.5024,-1.0073,4.1347,114.36,0.9948,1.5024,41.903,54.749,0.6766,-0.3047,1.9134,0.5797,1.5021
1,169,1,1,40,6,1.0000,1.0000,1.0000,3.7651,-0.0015,1.4994,1.0000,-0.0026,1.4979,1.0000,-0.0020,1.4991,-2.7516,4.8680,114.39,0.9917,1.5000,41.952,54.749,0.6766,-2.8218,4.0766,0.5785,1.4994
2,170,1,1,40,7,1.0000,1.0000,1.0000,4.2760,-0.0021,1.5000,1.0000,-0.0008,1.4982,1.0000,-0.0020,1.4982,-2.3147,5.9863,114.45,0.9978,1.4988,41.982,54.789,0.6763,-1.2914,3.1875,0.5830,1.4982
3,171,1,1,39,6,1.0000,1.0000,1.0000,3.7225,-0.0001,1.5009,1.0000,-0.0008,1.4988,1.0000,-0.0002,1.5015,-2.0001,4.5777,114.30,0.9734,1.5015,41.872,54.667,0.6779,-2.0276,4.2630,0.5699,1.5012
4,172,1,1,39,7,1.0000,1.0000,1.0000,3.7407,-0.0022,1.5018,1.0000,-0.0003,1.4991,1.0000,-0.0053,1.4988,-1.8321,5.9985,114.45,0.9765,1.4994,41.903,54.667,0.6770,-1.5266,5.2988,0.5724,1.4991
5,173,1,1,38,6,1.0000,1.0000,1.0000,4.6349,0.0000,1.4973,1.0000,-0.0011,1.4954,1.0000,-0.0018,1.4973,-0.8240,6.0657,114.39,0.9704,1.4982,41.828,54.586,0.6773,-0.6194,5.0146,0.5702,1.4970
6,174,1,1,38,7,1.0000,1.0000,1.0000,4.8144,-0.0001,1.4973,1.0000,-0.0002,1.4954,1.0000,-0.0001,1.4954,-2.1925,4.1041,114.42,0.9765,1.4957,41.836,54.586,0.6766,-1.5999,4.3180,0.5711,1.4951
7,175,1,1,37,6,1.0000,1.0000,1.0000,3.6130,-0.0022,1.4921,1.0000,-0.0024,1.4903,1.0000,-0.0023,1.4927,-2.0337,3.5602,114.36,0.9917,1.4930,41.846,54.607,0.6763,-1.4350,4.1469,0.5788,1.4924
8,176,1,1,37,7,1.0000,1.0000,1.0000,3.7559,-0.0027,1.4930,1.0000,-0.0009,1.4900,1.0000,-0.0004,1.4900,-2.2811,4.4647,114.45,0.9887,1.4906,41.852,54.627,0.6766,-1.9543,2.0478,0.5809,1.4903
1,177,1,1,36,6,1.0000,1.0000,1.0000,3.8046,-0.0012,1.4912,1.0000,-0.0009,1.4884,1.0000,-0.0023,1.4915,-2.4491,4.3608,114.36,0.9887,1.4921,41.822,54.566,0.6760,-2.4705,4.5502,0.5775,1.4915
2,178,1,1,36,7,1.0000,1.0000,1.0000,4.1057,-0.0007,1.4918,1.0000,-0.0005,1.4890,1.0000,-0.0003,1.4887,-0.9493,5.7968,114.45,0.9917,1.4897,41.848,54.586,0.6760,-0.7996,3.5358,0.5821,1.4884
3,179,1,1,35,6,1.0000,1.0000,1.0000,3.6160,-0.0019,1.4951,1.0000,-0.0003,1.4945,1.0000,-0.0018,1.4954,-2.9226,5.1857,114.30,0.9734,1.4954,41.858,54.627,0.6776,-2.3269,3.5450,0.5675,1.4951
4,180,1,1,35,7,1.0000,1.0000,1.0000,3.8107,-0.0008,1.4954,1.0000,-0.0011,1.4942,1.0000,-0.0001,1.4945,-2.3056,4.3333,114.36,0.9734,1.4948,41.881,54.647,0.6773,-1.5785,4.3486,0.5687,1.4942
5,181,1,1,34,6,1.0000,1.0000,1.0000,4.4068,-0.0021,1.4942,1.0000,-0.0030,1.4915,1.0000,-0.0023,1.4939,-3.1120,5.3446,114.36,0.9734,1.4942,41.779,54.505,0.6773,-2.2170,2.7567,0.5718,1.4939
6,182,1,1,34,7,1.0000,1.0000,1.0000,4.3886,-0.0016,1.4942,1.0000,-0.0042,1.4918,1.0000,-0.0016,1.4918,-2.6507,4.7366,114.39,0.9826,1.4918,41.795,54.525,0.6773,-1.4777,2.9980,0.5736,1.4915
7,183,1,1,33,6,1.0000,1.0000,1.0000,3.6100,-0.0009,1.4918,1.0000,-0.0062,1.4875,1.0000,-0.0017,1.4912,-3.0112,5.1919,114.33,0.9948,1.4918,41.761,54.444,0.6760,-2.3605,2.4694,0.5846,1.4915
8,184,1,1,33,7,1.0000,1.0000,1.0000,3.6373,-0.0031,1.4909,1.0000,-0.0003,1.4881,1.0000,-0.0003,1.4884,-0.1673,3.7711,114.30,1.0039,1.4884,41.771,54.465,0.6757,-0.1856,4.0155,0.5897,1.4881
